Planning Area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total
ANG MO KIO,5440,6190,7370,7900,8870,10580,10460,10900,11710,12550,12170,13060,12780,11950,8930,6120,3860,3120,163950
BEDOK,10020,11640,13260,14620,16640,19510,17920,18300,20010,21220,20810,22500,21780,18770,13610,8300,5550,4930,279380
BISHAN,2860,3840,4410,4730,5540,7060,5410,5280,5930,6830,6500,7220,7130,5740,3860,2530,1670,1490,88010
BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
BUKIT BATOK,7080,6610,7740,8780,9820,12500,12480,10600,10730,11660,12020,12390,11540,8490,5040,2900,1810,1550,153740
BUKIT MERAH,6130,6630,6630,6320,6780,9170,10440,11000,11820,11750,10770,10990,11160,10320,8270,5940,4190,3670,151980
CHOA CHU KANG,8970,9140,10420,12770,15980,16220,14060,12940,12680,14580,16700,15640,12030,8130,4630,2780,1770,1470,190890
BUKIT PANJANG,6680,7180,7640,8470,9560,10570,10710,10210,9610,10600,10430,11350,9950,6880,4180,2450,1560,1270,139280
JURONG EAST,2630,3020,3630,4350,4920,5790,5460,5230,5360,5930,5920,6370,6660,5800,3760,2090,1270,1050,79240
QUEENSTOWN,4190,4230,4200,4190,4770,5920,6830,7330,7350,7500,6920,6800,6290,5780,4960,3740,2910,2430,96340
JURONG WEST,11080,13540,15400,16670,17720,19570,18540,20630,21390,21340,20440,19350,17750,13890,8410,4620,2560,1980,264860
BUKIT TIMAH,3160,4790,4980,4800,4660,4680,4050,4680,5960,6880,5920,5350,4920,4260,3290,2180,1530,1360,77430
CENTRAL WATER CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANGI,140,150,140,110,90,100,150,160,180,150,130,100,90,60,40,30,10,20,1830
CHANGI BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
CLEMENTI,3950,4340,4530,4560,4660,5360,6050,6960,7260,7430,6590,6480,6230,6410,5050,3080,1960,1530,92420
GEYLANG,3970,4270,4910,5170,5980,7970,7930,7740,8060,8190,8090,8870,8770,7060,5120,3470,2410,2230,110200
HOUGANG,8900,9250,10400,12120,14780,17620,16630,15200,15210,16600,17210,19390,18150,13870,8870,5540,3560,2940,226240
PIONEER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
PUNGGOL,16840,14710,10820,8150,6360,8860,18610,21760,16630,12970,8860,7530,6160,5100,3420,1880,1080,820,170560
SELETAR,10,10,20,20,20,0,10,10,20,50,30,20,20,10,10,10,0,0,280
SEMBAWANG,5560,5670,6230,6200,5600,7190,8000,8170,8400,8380,6950,6300,5010,3410,1980,1320,830,730,95920
SENGKANG,17380,17230,15360,13560,12690,14390,22440,24840,21950,19390,15540,14670,12970,9300,5880,3410,1960,1650,244600
SERANGOON,3520,4300,5320,6380,7750,9400,7660,6750,7220,8390,8630,9680,10060,8140,5470,3320,2310,2030,116310
SIMPANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTHERN ISLANDS,130,120,110,90,90,70,80,160,180,240,180,180,120,60,30,20,10,10,1880
SUNGEI KADUT,20,50,30,40,50,60,40,40,50,60,60,60,60,40,40,30,30,20,780
TAMPINES,11300,11180,12060,13980,18560,21420,18720,17890,16590,17410,19430,21970,20900,15220,9010,4980,3280,2850,256730
TANGLIN,1100,1580,1340,1100,980,1030,1190,1640,2080,2110,1750,1470,1210,1080,830,500,310,340,21630
TOA PAYOH,4250,4990,5260,5660,6350,8010,7690,8100,8750,9470,8910,9280,9170,7750,6130,4710,3340,2830,120650
TUAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
WESTERN WATER CATCHMENT,30,40,30,30,140,40,30,70,70,40,50,60,40,10,0,10,0,0,690
WOODLANDS,11590,12820,14880,18290,21390,20210,17850,17940,18290,20880,22000,19650,15220,10150,6060,3560,2260,1690,254730
YISHUN,12050,11270,10940,11660,13120,17420,18660,17910,15750,15750,15880,17710,15280,11450,6970,4090,2490,1920,220320
DOWNTOWN CORE,80,80,60,70,100,180,270,350,290,290,220,190,140,130,110,40,40,70,2720
MARINA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSEUM,20,20,20,10,10,30,40,50,50,60,40,30,20,20,10,10,0,10,450
NEWTON,390,550,470,350,360,390,470,600,760,840,660,570,470,410,340,170,110,140,8030
ORCHARD,50,50,50,40,40,40,50,80,90,90,80,70,60,60,50,30,10,10,920
OUTRAM,700,870,760,590,690,990,1070,1370,1610,1410,1290,1450,1480,1430,1160,800,630,670,18960
KALLANG,4020,4130,4190,4370,4680,6120,7030,7440,7880,8210,7370,7740,7650,6850,5240,3710,2540,2340,101520
LIM CHU KANG,10,10,10,10,10,0,0,0,10,10,10,20,10,10,10,0,0,0,110
MANDAI,70,90,130,140,170,160,140,120,150,180,170,180,130,90,80,50,30,20,2090
MARINE PARADE,1870,2410,2450,2390,2400,2500,2440,3180,3780,4150,3480,3330,3000,2640,2280,1640,1300,1160,46390
NORTH-EASTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
NOVENA,2150,2870,2550,2330,2440,2880,3200,3720,4250,4380,3620,3370,3050,2670,2090,1510,1060,1080,49210
PASIR RIS,5910,6660,7910,10080,13150,12740,8940,9200,10060,11150,13810,13490,9630,6320,3770,2270,1530,1380,148020
PAYA LEBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
RIVER VALLEY,490,580,550,510,450,550,620,910,1060,1090,840,670,580,480,380,210,140,140,10250
ROCHOR,390,430,520,530,620,800,890,1000,1130,1100,970,1010,1020,960,720,530,350,400,13340
SINGAPORE RIVER,230,210,170,120,90,120,190,350,420,380,230,190,140,90,80,50,30,30,3070
STRAITS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
